season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1981,134,George Johnson,PF,24,IND,43,0,21.6,4.2,9.2,0.462,0.0,0.1,0.0,4.2,9.0,0.468,0.462,2.2,2.8,0.762,2.3,4.2,6.5,2.0,1.1,0.5,2.0,2.8,10.6,930,17.4,0.51,0.013,0.31,11.3,21.6,16.3,13.4,2.4,1.4,16.0,22.9,0.7,1.4,2.2,-0.1,0.9,0.9,0.7,2,0.112,13.5125,1.75
1981,150,Jeff Judkins,SF,24,UTA,62,0,10.7,1.5,3.5,0.426,0.1,0.5,0.321,1.3,3.0,0.441,0.447,0.7,0.8,0.882,0.5,1.0,1.5,1.0,0.3,0.0,0.5,1.4,3.8,666,11.1,0.499,0.13,0.236,5.1,10.9,8.0,12.5,1.2,0.2,11.2,17.4,0.5,0.2,0.7,-1.7,-2.5,-4.2,-0.4,2,0.052,11.66,1.26
1981,159,Joel Kramer,PF,25,PHO,82,0,13.0,1.7,3.1,0.527,0.0,0.0,0.0,1.7,3.1,0.529,0.527,0.8,1.1,0.692,0.9,1.9,2.8,1.1,0.4,0.2,0.8,1.6,4.1,1065,11.8,0.562,0.004,0.353,8.1,15.8,12.0,10.6,1.5,0.9,18.4,13.4,1.0,1.8,2.9,-1.6,1.2,-0.4,0.4,2,0.129,10.46,1.82
1981,174,John Long,SG,24,DET,59,0,29.7,7.5,16.2,0.461,0.0,0.2,0.182,7.4,16.0,0.464,0.462,2.7,3.1,0.87,1.6,1.7,3.3,1.8,1.6,0.4,2.6,2.8,17.7,1750,15.6,0.503,0.011,0.192,6.0,7.2,6.5,10.7,2.6,0.7,12.7,27.5,0.6,1.8,2.4,-0.4,-1.3,-1.7,0.1,2,0.065,13.3428571429,2.29285714286
1981,191,Billy McKinney,PG,25,TOT,84,0,25.8,3.9,7.7,0.507,0.0,0.1,0.167,3.9,7.5,0.513,0.509,1.9,2.2,0.862,0.4,1.8,2.2,4.3,1.2,0.1,1.9,2.8,9.7,2166,13.3,0.562,0.019,0.291,1.7,7.4,4.6,22.2,2.1,0.3,17.8,16.1,2.6,0.8,3.4,-0.2,-1.6,-1.8,0.1,2,0.075,13.0714285714,2.24285714286
1981,196,Mike Mitchell,SF,25,CLE,82,0,39.0,10.4,21.8,0.476,0.0,0.1,0.444,10.4,21.7,0.476,0.477,3.7,4.7,0.784,2.6,3.5,6.1,1.7,0.8,0.6,2.1,2.4,24.5,3194,17.5,0.513,0.005,0.215,7.1,10.5,8.7,6.9,0.9,0.9,8.2,26.9,5.0,1.1,6.0,1.1,-2.6,-1.5,0.4,2,0.091,16.33,5.01
1981,221,Roger Phegley,SG,24,CLE,82,0,27.7,5.8,11.8,0.491,0.1,0.3,0.286,5.7,11.4,0.497,0.495,2.7,3.3,0.839,1.1,1.9,3.0,2.2,0.8,0.2,2.0,3.2,14.4,2269,14.3,0.545,0.029,0.277,4.2,8.0,6.0,11.8,1.4,0.4,13.2,22.1,2.9,0.8,3.7,0.4,-1.9,-1.5,0.3,2,0.078,11.5333333333,1.43333333333
1981,222,Stan Pietkiewicz,SG,24,TOT,42,0,11.0,1.4,3.3,0.413,0.5,1.1,0.396,0.9,2.1,0.422,0.482,0.3,0.3,0.786,0.3,0.7,1.0,1.8,0.4,0.0,0.5,0.7,3.4,461,12.3,0.499,0.348,0.101,3.1,7.4,5.2,24.4,1.6,0.2,13.2,15.0,0.5,0.1,0.6,-0.2,-2.6,-2.9,-0.1,2,0.058,9.4,0.533333333333
1981,234,Micheal Ray Richardson,SG,25,NYK,79,0,40.2,6.6,14.1,0.469,0.3,1.3,0.225,6.3,12.8,0.493,0.479,2.8,4.3,0.663,2.2,4.7,6.9,7.9,2.9,0.4,3.8,3.3,16.4,3175,17.1,0.511,0.091,0.303,6.0,13.9,9.8,27.5,3.5,0.6,19.3,20.0,2.2,4.7,6.9,1.8,2.7,4.5,5.2,2,0.104,16.3375,4.3875
1981,236,Rick Robey,C,25,BOS,82,4,19.1,3.6,6.7,0.545,0.0,0.0,0.0,3.6,6.7,0.546,0.545,1.8,3.1,0.574,1.6,3.1,4.8,1.5,0.5,0.2,1.7,2.5,9.0,1569,14.9,0.563,0.002,0.459,10.0,18.0,14.2,11.2,1.2,0.7,17.7,20.7,1.6,2.1,3.7,-0.1,-0.1,-0.1,0.7,2,0.114,10.0375,1.9625
