company;total_funding
dr sander rechtsanwalte steuerberater;0.0
graham packaging;0.0
suunto oy;0.0
richemont international;0.0
authentec;0.0
studio moderna;1675000.0
scosche industries;0.0
ever win international;0.0
leviton manufacturing;0.0
monster cable products;0.0
zipbuds;0.0
kno;94885095.0
next holdings;0.0
facebook;2385000000.0
allstate insurance;0.0
husqvarna;0.0
buhler sortex;0.0
flir systems;0.0
ge healthcare uk;0.0
cequr;56600000.0
value plastics;0.0
nuvasive;40462984.0
roche diagnostics;0.0
momentum management;0.0
incontrol medical;0.0
blue sky innovation group;0.0
international development;0.0
5 oaks creative development & design;0.0
mr bar-b-q-;0.0
phillips plastic;0.0
ideal time consultants;0.0
cube investments;0.0
tekserve;0.0
joby photo;0.0
cogia;0.0
valmont industries;0.0
millercoors;0.0
whirlpool;19330000.0
feintechnik eisfeld;0.0
tesa;0.0
ripple resort media;0.0
itw construction systems australia;0.0
tremco;0.0
diamond machine werks;0.0
radius x;0.0
rolls-royce;0.0
international truck intellectual property;0.0
ocean power technologies;0.0
flexenergy energy systems;23700000.0
holt hosiery mills;0.0
siemens vai metals technologies;8900000.0
posco;0.0
avl list;0.0
carefusion 303;0.0
keyence;0.0
atlas copco blm;2189019.0
artel;0.0
aida engineering;0.0
eco bales;460000.0
riley power;0.0
mitsubishi electronic;0.0
cummins intellectual properties;0.0
tvp solar;0.0
ric investments;0.0
dale medical products;0.0
samson;0.0
veeder-root;0.0
medrad;0.0
debiotech;0.0
triton logging;0.0
bond brothers contracting;0.0
3 day blinds;0.0
assa abloy ip;0.0
rolls-royce deutschland &;0.0
enbridge technology;1500000.0
ducati motor holding;0.0
hitachi construction machinery;0.0
siemens hearing instruments;8900000.0
kone;0.0
ventra group;0.0
nifco;0.0
ace manufacturing & parts;1245092.0
tomra systems;0.0
assa;0.0
mei;0.0
premier print services group;0.0
pci biotech;0.0
rtc industries;0.0
meadwestvaco packaging systems;0.0
seb;0.0
crane merchandising systems;0.0
cardica;13797958.0
visa usa;0.0
toshiba tec kabushiki kaisha;0.0
catch;0.0
newpage wisconsin system;0.0
nordson;0.0
idea factory;0.0
a celli nonwovens;0.0
phoenix products;0.0
eurocopter deutschland;0.0
ride best;0.0
flowserve management;0.0
hitachi global storage technologies;0.0
klinger;0.0
sunrise medical us;8200000.0
fujitsu ten;0.0
mac trailer manufacturing;0.0
saint-gobain pam;0.0
ford meter box;0.0
adams rite manufacturing;0.0
delaware capital formation;0.0
magna car top systems;0.0
dr ing hcf porsche;0.0
mitsui kinzoku act;0.0
xero engineering;244195300.0
canon finetech;0.0
miradia;67300000.0
cree;241039698.0
glp german light products;0.0
valeo vision;0.0
impulse devices;0.0
swatch group management services;0.0
hitachi powdered metals;0.0
nec infrontia;0.0
piper valve systems;0.0
hercules machinery;0.0
sandvik intellectual property;0.0
kennametal widia produktions &;0.0
standard car truck;0.0
nissan north america;0.0
energy saving products & sales;2000000.0
ocean renewable power;0.0
nts energie- und transportsysteme;0.0
gamesa innovation & technology;0.0
eurocopter;0.0
air liquide medical systems;0.0
danfoss commercial compressors;0.0
mitsui engineering & shipbuilding;0.0
convergys cmg utah;0.0
rambus;288565568.0
belden;0.0
autoliv development;0.0
fine and associates;0.0
sony computer entertainment america;0.0
konami gaming;0.0
spielo manufacturing;0.0
konami australia;0.0
wms gaming;0.0
hyundai wia;0.0
light wave;9700000.0
taylor made golf;0.0
torotrak development;0.0
thoratec;0.0
otologics;0.0
obtech medical;0.0
compumedics;0.0
u-systems;21864626.0
ge medical systems global technology;0.0
zoll circulation;0.0
argo medical technologies;1525000.0
capnia;22219087.0
novo nordisk;0.0
symmetry medical manufacturing;0.0
exactech;0.0
aesculap &;0.0
spectranetics;0.0
k2m;40000000.0
light sciences oncology;9700000.0
parker hannifin manufacturing germany &;0.0
porter mcguffie;0.0
toyota boshoku kabushiki kaisha;0.0
euro-pro operating;0.0
converteam technology;0.0
new mexico highlands university;0.0
mitsui chemicals;0.0
soraa;101600000.0
china star optoelectronics international hk;100000.0
vat holding;0.0
poole ventura;0.0
tokyo ohka kogyo;0.0
ensyn renewables;20000000.0
praxair technology;0.0
cast centre;0.0
delta industrial services;0.0
kuraray europe;0.0
astenjohnson;0.0
praxair st technology;0.0
rio tinto alean international;0.0
green ripple innovations;0.0
rhodia operations;0.0
cooper industries;0.0
material sciences;0.0
interra bouwburo;0.0
saab;0.0
jfe steel;0.0
bayer healthcare;0.0
stmicroelectronics;0.0
shell oil;0.0
novartis vaccines and diagnostics;0.0
onyvax;14906222.0
immunomedics;30000000.0
cedars-sinai medical center;0.0
glaxosmithkline biologicals;0.0
merial;0.0
apr applied pharma research;8776639.0
celonova biosciences;20841869.0
systagenix wound management us;0.0
banner pharmacaps;0.0
glaxosmithkline consumer healthcare &;0.0
alkermes pharma ireland;250000000.0
ipsen pharma;0.0
gdm;0.0
arkema;0.0
cenveo;0.0
nbcuniversal media;0.0
kuraray;0.0
bloom energy;5000000.0
hitachi chemical dupont microsystems;0.0
cellphire;1000000.0
millipore;0.0
galapagos;8858230.0
gen-probe;0.0
ibis biosciences;0.0
inserm institut national de la sante et de la recherche medicale;0.0
senomyx;0.0
roche glycart;0.0
ls9;75000000.0
verenium;97309564.0
arena pharmaceuticals;0.0
crucell holland;443000000.0
smart holograms;0.0
biodesix;84300000.0
epcos;0.0
semequip;26000000.0
saint-gobain centre de recherches et detudes europeen;0.0
sd lizenverwertungsgesellschaft mbh &;0.0
syngenta crop protection;0.0
total france;0.0
harris research;0.0
oncothyreon;64900000.0
lakewood-amedex;5500000.0
inspire pharmaceuticals;0.0
bayer animal health;0.0
meda pharma &;0.0
anadys pharmaceuticals;17500000.0
velcera pharmaceuticals;0.0
agennix usa;13000000.0
amgen;175463420.0
biolipox;0.0
bayer pharma;0.0
rigel pharmaceuticals;0.0
graham packaging pet technologies;0.0
mitsubishi engineering-plastics;0.0
invista north america sarl;0.0
borealis technology oy;0.0
rhodia engineering plastics;0.0
green peptide;0.0
medarex;0.0
irm;0.0
johnson & johnson research;0.0
glenmark generics;0.0
union carbide chemical and plastics technology technology;0.0
china petrochemical development;100000.0
arkema france;0.0
sanofi-aventis;0.0
chevron phillips chemical;0.0
tamarack habilitation tehnologies;16554200.0
basf plant science;0.0
athenix;43500000.0
monsanto;0.0
seminis vegetable seeds;0.0
e ink holdings;0.0
hypertherm;0.0
airware;40420000.0
varian semiconductor equipment associates;0.0
rising silicon;1000000.0
plextronics;51447500.0
intermolecular;62619999.0
eco spark;460000.0
elite advanced laser;0.0
alpha and omega semiconductor;0.0
altera;0.0
mc10;61208131.0
kingston technology;0.0
demand energy networks;0.0
abb oy;2700000.0
technology mavericks;0.0
sanyo seimitsu;0.0
toshiba lighting & technology;0.0
hitachi consumer electronics;0.0
beyond innovation technology;0.0
ksr technologies;34965544.0
pure technologies;0.0
bruker biospin;0.0
feinmetall;0.0
xilinx;0.0
synopsys;0.0
exar;0.0
pulse electronics;9800000.0
its electronics;0.0
flextronics automotive;0.0
location based technologies;1171464.0
neology;0.0
magna mirrors of america;0.0
arbitron;0.0
intelleflex;44000000.0
adaptiv technologies;0.0
emag technologies;0.0
pulse finland oy;9800000.0
siemens vdo automotive;8900000.0
mattel;0.0
fujitsu technology solutions intellectual property;0.0
honda research institute europe;0.0
marvell international technology;0.0
zoran;0.0
via technologies;0.0
abbyy software;0.0
echostar technologies;0.0
embrex;0.0
e ink;0.0
lumus;6000000.0
ophthonix;24653803.0
reliance controls;0.0
ioxus;69000000.0
e ink holding;0.0
spansion israel;0.0
orthosensor;71988600.0
geospace technologies;0.0
sony optiarc;0.0
fulcrum microsystems;0.0
option;0.0
embarq holdings;0.0
cisco tecnology;2500000.0
adc telecommunications;0.0
sprint communications;0.0
qwest communications international;0.0
ipwireless;31580000.0
pantech;76300000.0
sky teletech;0.0
audiocodes;0.0
tellabs;0.0
transwitch;2729500.0
cymer;0.0
el en;138000.0
siemens enterprise communications &;8900000.0
neomagic;0.0
clearwire ip holdings;5700000000.0
wipro techno centre singapore pte;0.0
trex enterprises;0.0
sirf technology;0.0
aquantia;153624633.0
biolucent;0.0
securus technologies;4651137.0
cinchcast;7250000.0
fonality;46020414.0
skype;76805032.0
king green;43000000.0
magiq technologies;3107303.0
line 6;0.0
mathias stieler von heydekampf;0.0
bell and howell;0.0
videomining;2000000.0
trumpf werkzeugmaschinen +;0.0
alpine electronics;0.0
xceed imaging;0.0
point grey research;0.0
limelight networks;0.0
infinera;112000000.0
opnext japan;0.0
oce printing systems;0.0
harris technology;0.0
wireless science;0.0
lifescan scotland;0.0
t-mobile international &;0.0
ultra proizvodnja elektronskih naprav doo;0.0
stmicroelectronics beijing r&d;0.0
loopt;39105997.0
sybase;0.0
electrocore;50500000.0
abb research ld;2700000.0
castrol;0.0
blackbird technologies;0.0
navteq north america;0.0
analiza;600000.0
vega grieshaber;0.0
impedimed;0.0
scout analytics;700000.0
neopost technologies;0.0
virco bvba;0.0
mentor graphics;0.0
dts;0.0
sensory;0.0
amadeus;0.0
cardinalcommerce;4552438.0
trizetto group;0.0
onemednet;2770750.0
crowdengineering;4350000.0
velti;32034118.0
traffiq;18000000.0
checkpoint systems;0.0
mckesson financial holdings;0.0
sabrix;21000000.0
foliofn;0.0
pricemetrix;0.0
bloomberg;0.0
mbox;0.0
textura;6750000.0
business objects software;0.0
t-mobile deutschland;0.0
teradata us;0.0
personalweb technologies;0.0
commvault systems;0.0
jumptap;121500000.0
millennium it usa;70000.0
parallel networks;0.0
reach unlimited;0.0
lookout;131000000.0
comcast cable holdings;725000000.0
vudu;36000000.0
action star enterprise;0.0
plurality;12000000.0
axis semiconductor;0.0
kaspersky lab zao;0.0
intertrust technologies;0.0
corestreet;0.0
network appliance;0.0
ati technologies;0.0
nortel networks;0.0
sandisk;0.0
core logic;0.0
princeton technology;0.0
xcerion aktiebolag;15340000.0
tableau software;0.0
canon europa;0.0
pixar;0.0
edxact;2630000.0
pulsic;0.0
bbc international;0.0
dart industries;0.0
gone studio;1120000.0
